FID,globalid,Building name,Building code,Entrance name,Is the entrance width greater than 32 in?,Is the door automatic?,How is the ground in front of the entrance?,Additional Notes,Creation date,Creator,Last edited,Editor,Is there braille signage at the entrance?,Braille notes,Picture,GlobalID_2,Creation_1,Creator_1,EditDate_1,Editor_1,GlobalID_3,CreationDate,Creator,EditDate,Editor,Photo,x,y
11,{A8DAC4B4-797B-4839-8074-39648E8B7B92},Richards Laboratory,500,Main Entrance to Hamilton Walk,yes,yes,stairs,"Main entrance: Automatic door, but was not able to find a ramp (only stairs leading to main entrance). Lots of construction around the entrance blocks off other stairs and possible entrances",3/14/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, , , ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/5/attachments/4?token=,89219086-476e-41f6-b1a1-086abfcc2781,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,f38376cd-9c6b-4406-a110-8755f975d6a7,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.197643536,39.949886264
12,{D8D491F0-5E22-4D66-A48D-3DE9401232CE},The Arch,Campus-75,Main,yes,no,ramp, ,3/28/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/29/attachments/31?token=,9e277c87-da36-4437-8365-9f1dca81467b,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,f877343c-a3fe-4f49-9d18-650adfc72eb5,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1953471309999,39.952135049
13,{620EE295-8E4E-4F82-BEE9-40C3024F9260},College Hall, ,Woodland walk entrance (Main Entrance),yes,no,stairs,Up a large flight of stairs. Completely inaccessible.,5/2/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/52/attachments/48?token=,61115c62-ecee-43a8-8de2-6d000e304804,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,8d5b5937-112f-48c8-99b9-1751541a874e,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1937180589999,39.951630918
14,{9EEE39DA-CD0C-4626-AA74-453A1074650C},Golkin Hall,288,Main entrance, , , , ,4/20/2018 12:00:00 AM, ,4/20/2018 12:00:00 AM, , , , ,7f87b922-4c0a-47fb-a149-3b0951ba59a1,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,c2e4dc26-1c08-4d97-a3b1-e830482e229b,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.192854803,39.9538709760001
15,{193C0223-BD45-45E5-92B5-458C42AB41B2},Claudia Cohen Hall, ,West entrance (main),yes,no,stairs,11 steep concrete steps lead to door,3/9/2018 12:00:00 AM,amcgr_UPenn,5/21/2018 12:00:00 AM, , , ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/3/attachments/3?token=,e6167012-0022-4e85-a614-355a08a56555,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,08256f7b-0af3-4571-8c9d-ac0609ceb8bf,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.194963421,39.9513798360001
16,{FBBE7829-027B-42B9-B638-5AA9E44509C0},Stiteler Hall,Campus 550,South west,yes,yes,level,Must access area by taking Wharton ramp,3/28/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/12/attachments/15?token=,a4731cdf-ea83-48ed-b56f-269901ed9395,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,743c9fa3-2419-4236-9d6d-70c546403a7c,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1973218539999,39.952717287
17,{CC909D2A-3151-4118-B252-63C115CD9F51},Larry Robbins House Locust Walk,Campus-390,Main locust walk,yes,no,level, ,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/33/attachments/34?token=,7e180a76-6547-4a80-87a1-71ed8c94b10e,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,a51b9310-a732-4951-a22d-fdb651fedd99,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.194833051,39.952058848
18,{8EF404D4-7599-4479-86B4-6A4A8B4CCEF3},Jerry Lee Center For Criminology, ,Accessible Wntrance,yes,no,stairs,Key operated elevator and intercom,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/25/attachments/27?token=,3ef7bf5c-87f9-40a4-a7a2-0fbcb9e8b122,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,d0917967-97b2-40d7-a160-d4fee5cd3a2c,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1992572779999,39.9537243990001
19,{E5804B0B-3B50-4427-BA5A-6C0E55D5AAA1},Golkin Hall,288,Main,yes,yes,both, ,4/20/2018 12:00:00 AM, ,4/20/2018 12:00:00 AM, ,no, , ,0799fb92-d807-4a0f-8d34-1acdbe526c5f,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,6b8817d2-12c2-4924-92b5-f65f55e2ddfa,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.193068709,39.953817518
20,{94A3428B-C6CD-4BA4-BC3F-7BB1B9432182},College Hall, ,Side entrance,yes,no,both,"Ramp leads to door, but once inside it is not wheelchair accessible",5/2/2018 12:00:00 AM, ,5/30/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/49/attachments/46?token=,2cc82173-7736-4eb2-a720-cfd57e4367e6,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,ce50161d-1e75-4db3-85c9-83caf5375466,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.193641223,39.9513875700001
21,{1DEC39F6-0D36-41BC-A8DC-81A17BF62473},Graduate education building,Campus 130,West,yes,no,stairs,Between stairs,3/28/2018 12:00:00 AM, ,3/28/2018 12:00:00 AM, ,no, , ,b98210c4-405c-4954-91dd-fbc69a8bfa0a,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,6912e0a1-c473-4fb9-81f2-8f8a909dd28b,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.197518507,39.9533029730001
22,{A23615B5-598B-4496-A36B-875D196F3361},Steinberg Conference Center, ,Accessible Entrance,yes,yes,level,Closed after 11PM,3/28/2018 12:00:00 AM, ,5/30/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/30/attachments/32?token=,b174742f-8bb4-4642-a192-3666b7a75264,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,91198702-d49d-4703-8fff-4d095db1cedf,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.198477163,39.9517129820001
23,{8E23319A-E884-4286-B56C-8B41B06C9721},Hutchinson Gymnasium,Campus 250,Squash courts (to the right of the main entrance),yes,yes,ramp,Only swipe accessible. According to building manager this only leads to squash courts. To get to other parts of the building you have to take stairs.,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/28/attachments/30?token=,d74c5c79-f942-4917-b366-7ccd3e356b91,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,569d818b-1538-4a38-bee9-6854d2049ed1,11/7/2018 12:58:58 PM,upennamp_UPenn,12/13/2018 7:25:37 PM,upennamp_UPenn,,-75.1892462518373,39.950856936393
24,{C28B9A59-2793-43AE-96B3-926D4CE51EF7},Van-Pelt Dietrich Library, ,Accessible Entrance,yes,yes,level,Doorbell next to push plate,3/9/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/4/attachments/8?token=,c602596a-d698-43d5-a985-1fc3b992e183,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,d5dac456-0d6a-4f4e-9c36-758d11d4f6a9,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.193354805,39.95241887
25,{F5B992DB-B686-4090-BF7A-940904CFE34F},graduate Student Center,9855,Main,yes,no,ramp, ,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/24/attachments/26?token=,fc86173d-3e85-4b1b-9ac3-52b5dc85fc36,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,6ca0ffe6-2ac1-44e7-acf5-24175b695db5,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1956729949999,39.952205244
26,{79BC706B-9556-478B-BA04-A4AF6FFF3021},Williams Hall,CAMPUS-620,North entrance,yes,yes,level,"Doors open to entryway way leading to second set of doors which open into Williams Cafe area of Williams Hall, on an intermediate floor between 2F and 3F",3/30/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/39/attachments/40?token=,a3e895a0-3e91-4413-8307-22b6bd6d7b4d,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,644e629e-5f08-4fc1-9d4e-1f6caca58824,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.19464881,39.9510417050001
27,{C8C4880E-1492-447E-871B-AB7F6D12AD05},Fisher - Bennett Hall,25,Main Entrance,yes,yes,both,Ramp leading up to the main entrance door is very narrow and curves (does not go straight up). May lead to issues if using a chair to go up the ramp. Button for automatic door is to the right of the main entrance door (right where the ramp ends),3/15/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, , , ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/6/attachments/6?token=,18e8fbbc-e3f6-4ceb-9a8f-e38bda791ba6,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,eee3ffa5-8404-48e4-9467-265e05429e09,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1919095069999,39.952559122
28,{8C7F69A3-6D4D-4F26-B46E-ACBBCD1D7E15},College Hall, ,Eastern side,yes,yes,both, ,5/2/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/51/attachments/47?token=,7f32a4ee-00c8-48e1-82da-f6eddd7eba83,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,bc8c80b0-c8a1-4a8d-909c-cf9faac0cf84,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1932866829999,39.9513888710001
29,{10B46205-D72D-41CD-BA3F-B1969297FB0B},Education building,Campus 130,Main,yes,yes,level, ,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/14/attachments/17?token=,9a72e8f1-2878-46bc-8584-b870c29fc66a,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,08e3345d-f9d2-46f8-a9cd-00452ff43dc5,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1970040099999,39.9532925180001
30,{4B28DF9A-C717-4F20-A10F-B972EEFDFE0A},Claudia Cohen Hall, ,Accessible Entrance,yes,yes,level,Intercom next to push plate,3/9/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, , , ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/2/attachments/2?token=,b8f02702-327e-4ba2-a227-d2d8003bea74,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,f307ede8-a564-4a47-9d82-697af313bb6e,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1945688449999,39.9513436990001
31,{C600A088-2491-407A-9312-B99A4762BD65},Education building,Campus 130,Side (exit only),yes,no,level, ,3/28/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/16/attachments/20?token=,3801e4dd-9860-4f84-ac59-efbc9572ee8d,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,cb0f1ca1-f9bd-4a82-92e1-9de72dbdd5a3,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.1969434659999,39.9531895220001
32,{4FECF70B-F02F-4126-B5FB-BA0DFC488A64},Fisher Fine Arts Library,Campus 170,Main entrance,yes,no,stairs,4 steps down and 10 up,3/28/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, ,no,None,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/8/attachments/10?token=,f955ca1f-e7b2-46e6-9bb9-b5523a05b283,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,9c514661-7644-4fd8-9efb-c5afea8a6db9,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.193009253,39.951629408
33,{0B4305FC-39D5-40A4-B022-BADFAC5977A9},Williams Hall,Campus-620,Main Entrance,yes,yes,level,"If you enter in this door, you’d need to take the middle elevator one floor to get to the main elevator pool. There are stairs coming from locust walk, but there’s also a flat area and flat areas from the Perelman quad direction",3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/34/attachments/36?token=,b3f0f605-ceca-4b56-86be-9ab51ed3fe4c,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,d3734475-6237-4bb7-bffe-3e8fe55b1840,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.194877629,39.9510423240001
34,{96E85501-8C42-412A-85AF-BF9CAF09EEB0},Lerner Center south side entrance (accessible),Campus 365,South side and swipe accessible entrance,yes,yes,level,Only accessible to graduate students and faculty + privledged swipe access (for students with registered disabilities),3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/20/attachments/23?token=,07082910-d71b-492c-acb1-e8571e69768a,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,60249fd3-e9e1-49e7-93d9-c0ec2abf36d0,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.192041,39.9519376000001
35,{081B680E-1586-4FAB-9FC6-C5AD897F223B},Annenberg School of Communication,15,Walnut St Entrance,yes,no,level,Security present inside entrance during open hours,4/10/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/40/attachments/41?token=,3261b916-bfab-4fe0-ae3a-1940fa71ecfe,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,d797d19d-e58d-4335-ab83-cac44bb47c7b,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.195576676,39.9529442780001
36,{E02AA4C5-8B82-4ECE-B3F4-D0F6E14D10A7},Gittis Hall,285,Interior main entrance,yes,no,level, ,4/20/2018 12:00:00 AM, ,4/20/2018 12:00:00 AM, ,no, , ,cc218bce-17ab-46b9-a3ac-43a9e3d5c3a9,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,1d33caae-37c2-47e4-82c2-1ca9da09323d,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.192404191,39.9541012560001
37,{23F0099B-CCCD-459A-9F1C-D1765CD1E541},Schattner,173,Front doors on the 40th and locust entrance,yes,yes,level,Handicap accessible with a button about 2.5 feet off the ground on the left of the doors. This button opens the left most door to the vestibule area. There is a second button to activate the door to enter the building again on the left opening the left d,4/20/2018 12:00:00 AM, ,5/30/2018 12:00:00 AM, ,no, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_dd44d29f58714804868f07211f8f6050/FeatureServer/0/47/attachments/45?token=,0a42fa89-d39b-46b0-b161-d11c35a5a1e1,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn,38d1688f-29cf-428b-92ec-c669c5953d4a,11/7/2018 12:58:58 PM,upennamp_UPenn,11/7/2018 12:58:58 PM,upennamp_UPenn,,-75.20308698,39.952594993
