FID,Building name,Building code,Inaccessibility notes,Braille signage,Braille notes,Building interior lighting type,Lighting notes,Chemicals/ odors/ allergens notes,Number of floors,Number of stairwells,Number of elevators,Number of accessible bathrooms,Number of gender neutral bathrooms,Number of gender neutral accessible bathrooms,Total number of bathrooms,Presence of Lactation Spaces,Presence of Prayer Spaces,Additional Notes,Creation date,Creator,Last edited,Editor,Picture,GlobalID_2,Creation_1,Creator_1,EditDate_1,Editor_1,Presence of chemicals/odors/ allergens,Building type,Inaccessible?,globalid,Accessible drinking fountains,GlobalID_3,CreationDate,Creator,EditDate,Editor,Image,Accessibility information links,Seating/resting places in the main areas,x,y
12,Hutchinson Gymnasium,CAMPUS 250,Third floor,yes, ,artificial,Fluorescent,None,4,3,1,6,4,4,6,no,yes,Floor 1: 4 gender-neutral bathrooms. Floor 2: no public restrooms. Floor 3: inaccessible (stairs at back). Floor 1R: non-accessible front door (no automatic door); ramp to Palestra. Basement: no public restrooms. Floor,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/17/attachments/9?token=,eec5db34-2955-4920-b99e-6b27c752ac76,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn, , , , ,,2941c1bf-6e5e-475b-b57a-e0760e0b2298,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:33:21 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0250-Hutchinson.pdf,,-75.188673399,39.9509924860001
13,The Arch,Campus-75,Some smaller doorways in classrooms and 3rd floor,yes,On most signs main floor,artificial,Medium light,No,4,1,0,1,1,1,3,no,no, ,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/14/attachments/5?token=,5ae255d8-b1b2-45e8-9b9b-08312ee4b973,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn, , , , ,,6efc3262-5af5-4c3e-af1f-b34647c59a19,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:33:55 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0075-Arch.pdf,,-75.195236983,39.952222954
14,David Rittenhouse Laboratory,510,Some of the lecture halls do not have accessible seating,yes,Some of the classrooms have Braille signage most do not,artificial,Ground floor and basement are not well lit. Relies on natural lighting which is not always good., ,4,4,2,0,0,0,0,no,no, ,3/2/2018 12:00:00 AM, ,3/2/2018 12:00:00 AM, , ,ac31bf5f-e74f-4b02-9333-f7f749c447ee,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn, , , , ,,5e6102e4-3019-41c0-88b9-e482f33583cf,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:34:17 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0510-DRL.pdf,,-75.18979,39.9519900000001
16, , , , , , , , ,0,0,0,0,0,0,0, , , ,6/24/2018 12:00:00 AM, ,6/24/2018 12:00:00 AM, , ,f258bde0-8ea2-4f89-82b8-8bf597c80acf,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn, , , , ,,5ca703b3-322c-4cff-8130-fe0104aa7b16,11/6/2018 10:23:49 PM,upennamp_UPenn,11/6/2018 10:23:49 PM,upennamp_UPenn,,,,-75.182371571,39.9491643870001
17,Larry Robbins House,Campus-390,3rd floor seminar room,yes,All signs,both,Bright,No,3,1,1,2,2,2,2,no,no, ,3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/15/attachments/6?token=,9d6ed4e7-f9c1-4d6d-a773-4f3ea25d30b1,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn, , , , ,,22dc41e9-846b-4bd7-b6d5-4b95c2228aea,11/6/2018 10:23:49 PM,upennamp_UPenn,11/6/2018 10:23:49 PM,upennamp_UPenn,,,,-75.1948410969999,39.9521616550001
18,Lerner Center,365, ,yes,Elevators stairs and rooms have Braille signage.,both,Lighting is a mixture. Atrium spaces are well lit with natural light. Lots of corridors which are darker and lit by artificial light.,Little bit of a sterilised smell.,5,2,1,8,0,0,8,no,no,"No obviously inaccessible spaces but lots of doors particularly on floors 2, 3 and 4 are heavy and hard to open",3/28/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/12/attachments/4?token=,3d694483-dc9f-4af3-843c-75e2fdde6758,7/5/2018 12:00:00 AM,madhurap_UPenn,7/21/2018 12:00:00 AM,madhurap_UPenn,yes, , , ,,ec64b12b-2002-45f3-bc11-f1cad453a166,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:37:40 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0365-Music.pdf,,-75.191904125,39.9521138640001
19,Towne Hall,570,"South basement double doors without push pad and too narrow (rooms B12-B13, integrated product design studio). Office of diversity and inclusion accessible only by inaccessible double doors, room 125. Computer lab only accessible by freight elevator.",yes,Likely too high for some wheelchair users.,artificial,Flourescent light.,Smells of paint and chemicals,5,8,0,5,2,3,9,yes,no,"Gender neutral bathrooms in basement are marked by gender but are single user bathrooms, both have changing tables. No elevators in building but elevators in connected Skirkanich Hall and Levine Hall.",4/20/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/26/attachments/13?token=,5f799a64-c8c9-4c5f-a9b3-e20d797bfc33,7/5/2018 12:00:00 AM,madhurap_UPenn,7/21/2018 12:00:00 AM,madhurap_UPenn,yes, , , ,,9fdb2a72-9647-4d7b-99e7-0ae084bad86b,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:38:55 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0570-Towne.pdf,,-75.190917771,39.951818781
20,Claudia Cohen Hall, ,Departmental offices on each floor are behind a heavy door that does not have a push plate and may be less than 32" wide.,yes,Signage available but our of reach for a wheelchair user,artificial,"Dim, but visible",None,6,3,1,8,0,2,10,no,no,Accessible water fountains are located on each floor next to the bathrooms.,3/9/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/7/attachments/1?token=,922b8653-aa1b-4208-b9f3-6f1ec5f0a6f0,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn, , , , ,,f9f28fa9-7aae-4f7a-baff-b59eeb8d24b2,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:39:48 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/pa0310-cohenhall.pdf,,-75.1947150249999,39.9513889340001
21,Gittis Hall,285, ,no, ,both,Big windows with plenty of artificial lighting,No,2,3,1,0,0,0,0, , , ,4/20/2018 12:00:00 AM, ,4/20/2018 12:00:00 AM, , ,e13c0130-1269-4a69-9005-95a5d12e6cb3,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn, , , , ,,2f1fbe25-ac70-474e-a251-9eac8266f91b,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:40:13 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0285-GittisHall.pdf,,-75.192729745,39.954199948
22,Caster,50,Ground floor is not for the most part,yes,"Very rarely, central common use rooms, not offices.",artificial,"Old, no natural light, fluorescent, dim","Strong chemical smell, smells of old books and plastic",4,2,1,3,4,3,13,yes,no,"Elevator says which floor you’re going. The exit signs don’t point towards exits, very misleading, ground floor has no accessible fire exit, ground floor leads to parking garage of Caster",4/20/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/29/attachments/16?token=,8ce45f73-d6d1-4080-a9bd-5f7ca472a013,7/5/2018 12:00:00 AM,madhurap_UPenn,7/21/2018 12:00:00 AM,madhurap_UPenn,yes, , , ,,36096996-2a06-4560-852c-4e14c987461b,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:40:43 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0050-Caster.pdf,,-75.1975901339999,39.952492981
23,College Hall, ,"The entire fourth floor is inaccessible. This is the location of the Philomathean society, and all of the rooms used by this society are inaccessible to wheelchair users. While every other floor is accessible by elevator, the elevator is very narrow.",yes,Braille on all signs but often too high for wheelchair users.,artificial,The lighting is mostly soft interior lights. The second and third floors are particularly dark. Some rooms have big windows with natural light.,Not particularly. Some dust and lots of plants.,4,3,1,6,2,3,9,no,no,Signage is often too high for wheelchair users. Many of the doors are very heavy. Some bathrooms labelled accessible are not well designed. Particularly the accessible bathroom on the second and third floors have no push button and is poorly designed.,5/2/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/30/attachments/17?token=,317b5c26-d7e0-4d15-8865-7dab33429a31,7/5/2018 12:00:00 AM,madhurap_UPenn,7/21/2018 12:00:00 AM,madhurap_UPenn,yes, , , ,,71610c97-4a34-4680-a4f0-659844e29095,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:41:04 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/pa0095-collegehall.pdf,,-75.193744378,39.951480819
24,Stiteler Hall,550,Second floor (Political Science department offices) not accessible by elevator. All but one entrance inaccessible. Basement restrooms inaccessible by elevator and require PennCard., , ,artificial,Silverstein Forum has dim lighting., ,3,3,0,1,1,1,5,no,no,Accessible restroom only accessible by pin code that only building administrator knows.,3/2/2018 12:00:00 AM, ,5/29/2018 12:00:00 AM, , ,9fced069-44b7-4ac9-bccd-8016f57b8de5,7/5/2018 12:00:00 AM,madhurap_UPenn,8/2/2018 12:00:00 AM,madhurap_UPenn, , ,Yes, ,,47f38112-960b-472d-83d4-7fd600912e8c,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:41:33 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0550-StitelerHall.pdf,,-75.197100198,39.9527400000001
25,Golkin Hall,288, ,yes,Braille on signs,both, , ,0,0,0,0,0,0,0, , ,Bathrooms do not have automatic doors,4/20/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/27/attachments/14?token=,a4f58225-df9b-4e6c-81d2-c79a443c18bc,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn, , , , ,,c643f23d-d655-4ad9-a59d-67f892788ad8,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:42:00 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0288-GolkinHall.pdf,,-75.1926357899999,39.9538694240001
26,Graduate Student Center, , ,no, ,artificial, , ,3,2,1,4,2,2,4,yes,no, ,3/19/2018 12:00:00 AM, ,3/20/2018 12:00:00 AM, , ,09bf98c8-3ba1-4dd4-bebd-9a313dfc2bdd,7/5/2018 12:00:00 AM,madhurap_UPenn,7/5/2018 12:00:00 AM,madhurap_UPenn, , , , ,,1b13bb1d-9559-48d5-8b30-1c7eb50e077b,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:44:34 PM,upennamp_UPenn,,http://www.gsc.upenn.edu/accessibility,,-75.195678532,39.9522936930001
27, , , , , , , , ,0,0,0,0,0,0,0, , , ,, ,, , ,d3a5d9fc-d0e3-43ee-9f72-3373c5947c64,7/31/2018 12:00:00 AM,amcgr_UPenn,7/31/2018 12:00:00 AM,amcgr_UPenn, , , , ,,c0b2e1f4-e5b4-4554-bf8a-aeac87ed3a7a,11/6/2018 10:23:49 PM,upennamp_UPenn,11/6/2018 10:23:49 PM,upennamp_UPenn,,,,-75.1987820053086,39.9509384286614
28,Hayden Hall, , , , , , , ,0,0,0,0,0,0,0, , , ,, ,, , ,9d7ed9cd-8aca-4ec4-8aea-de6530f44045,8/2/2018 12:00:00 AM,madhurap_UPenn,8/2/2018 12:00:00 AM,madhurap_UPenn, ,SAS,Partially_accessible, ,,16c38dd9-8096-4897-ac50-f4862ec2aa6b,11/6/2018 10:23:49 PM,upennamp_UPenn,1/23/2019 7:45:27 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0215-Hayden.pdf,,-75.19128,39.95124
29,Steinberg Dietrich Hall,610, ,yes,Not at wheelchair level,both, , ,0,0,0,8,2,2,10,no,no,Tampon machine in women’s restroom which is too high to reach. Ground floor bathrooms have wash basins difficult to reach. Emergency exit on second floor is accessible only by stairs.,4/20/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/24/attachments/12?token=,8365ed0b-cc6d-40d4-8460-77bdf7eb2945,,madhurap_UPenn,7/5/2018 5:55:32 PM,madhurap_UPenn,,,,,,831afc89-baa5-45b2-8357-beb21166edf4,11/7/2018 1:41:40 PM,upennamp_UPenn,1/23/2019 7:45:56 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0535-SteinbergDietrich.pdf,,-75.196154179,39.951835173
30,Penn Museum,575,The entrance to Harrison Auditorium is closed for renovation. The Trescher entrance to the museum is usually locked but the courtyard is accessible., , , , , ,6,0,0,0,0,0,0, , ,There is a ramp on the west side of the building to the Kamin entrance.  There are automatic doors at the Kress entrance.,3/26/2018 12:00:00 AM, ,3/26/2018 12:00:00 AM, , ,a0cae153-541c-4630-9633-f15db802c1db,,madhurap_UPenn,8/2/2018 9:50:07 PM,madhurap_UPenn,,,,,,45af5dfa-e7a3-4202-b8ee-6a9ecc89cc4a,11/7/2018 1:41:40 PM,upennamp_UPenn,1/23/2019 7:46:33 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0575-MuseumArchaeology.pdf,,-75.191179946,39.9491356
31,Houston Hall,CAMPUS-245,Stairs on sides of floors on first floor. Third floor East side accessible only by stairwells.,yes,Braille for classroom signs. Braille signs are sometimes too high to comfortably reach in a wheelchair.,artificial,"Generally fine, dim in basement.",No,4,4,2,10,0,0,10,no,yes,"Accessible water fountain on third floor, second floor, first floor. Trash can blocking entrance to 301. Heavy door to stairwells on West side of building. Difficult to access meditation space and bathrooms on East side of second floor.",3/2/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/3/attachments/2?token=,148a6fd0-1afc-4f90-b5b3-233ea6e19049,,madhurap_UPenn,8/2/2018 9:50:37 PM,madhurap_UPenn,no,,,,,12791fd4-979b-48b1-9287-ce5627c3e90f,11/7/2018 1:41:40 PM,upennamp_UPenn,1/23/2019 7:46:58 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/pa0245-houstonhall.pdf,,-75.193842591,39.950933521
33,Irvine Auditorium, , , , ,artificial, , ,4,2,2,2,0,0,6,no,no,"no bathrooms on first floor, nonworking standard height pushplate at main entrance, use ankle height. perelman quad entrance not usable. No Braille signage. wheelchair accessible water fountain on B2 and G.",4/20/2018 12:00:00 AM, ,5/21/2018 12:00:00 AM, ,https://services3.arcgis.com/9nfxWATFamVUTTGb/arcgis/rest/services/service_12179aa8762647dba17ff539184807a7/FeatureServer/0/23/attachments/11?token=,aa5605f0-b79e-4fbd-8af8-4ce541444d2c,,madhurap_UPenn,7/5/2018 5:55:32 PM,madhurap_UPenn,,,,,,a614952a-0d28-4f2a-a788-29687a8bc8fe,11/7/2018 1:41:40 PM,upennamp_UPenn,1/23/2019 7:47:13 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/pa0255-irvineaud.pdf,,-75.192995052,39.9508801750001
35,Jon M Huntsman Hall,CAMPUS-617, , , ,artificial,"Dim, warm lighting", ,9,4,6,1,1,1,27,yes,no,"Lactation space on ground floor. Accessible, gender-neutral bathroom in basement. Floors 4 and above are department floors which are difficult for unaffiliated people to access.",3/28/2018 12:00:00 AM, ,3/28/2018 12:00:00 AM,madhurap_UPenn, ,0f447a4f-ca1e-422d-abab-cf74fbbabc44,,madhurap_UPenn,7/5/2018 5:55:32 PM,madhurap_UPenn,,,,,,d2a46bee-d08e-404e-9f18-7e00a64c7e7a,11/7/2018 1:41:40 PM,upennamp_UPenn,1/23/2019 7:47:54 PM,upennamp_UPenn,,https://www.facilities.upenn.edu/sites/default/files/pennaccess/PA0617-HuntsmanHall.pdf,,-75.1981783699999,39.953188934
